decision_date,rate_change,decision,sentiment_date,sentiment,sentiment_dict,days_difference
2013-07-31,0.0,No Change,2013-07-01,0.1241989135742187,"{'positive': 0.3792691230773926, 'negative': 0.25507020950317383, 'neutral': 0.365660697221756}",30
2013-09-18,0.0,No Change,2013-09-01,0.3884771913290024,"{'positive': 0.4658205807209015, 'negative': 0.07734338939189911, 'neutral': 0.4568359851837158}",17
2013-10-30,0.0,No Change,2013-10-01,0.102844700217247,"{'positive': 0.1999276727437973, 'negative': 0.09708297252655029, 'neutral': 0.7029893398284912}",29
2013-12-18,0.0,No Change,2013-12-01,0.3520728424191475,"{'positive': 0.45884013175964355, 'negative': 0.10676728934049606, 'neutral': 0.4343926012516022}",17
2014-01-29,0.0,No Change,2014-01-01,-0.2075661867856979,"{'positive': 0.1294514387845993, 'negative': 0.33701762557029724, 'neutral': 0.5335309505462646}",28
2014-03-19,0.0,No Change,2014-03-01,-0.0628684759140014,"{'positive': 0.17477993667125702, 'negative': 0.23764841258525848, 'neutral': 0.5875716805458069}",18
2014-04-30,0.0,No Change,2014-04-01,-0.252480149269104,"{'positive': 0.16941919922828674, 'negative': 0.42189934849739075, 'neutral': 0.4086814522743225}",29
2014-06-18,0.0,No Change,2014-06-01,0.2188835740089416,"{'positive': 0.3384714722633362, 'negative': 0.11958789825439453, 'neutral': 0.5419406294822693}",17
2014-07-30,0.0,No Change,2014-07-01,0.310664415359497,"{'positive': 0.4524386525154114, 'negative': 0.1417742371559143, 'neutral': 0.4057871103286743}",29
2014-09-17,0.0,No Change,2014-09-01,0.0235805213451385,"{'positive': 0.15524516999721527, 'negative': 0.13166464865207672, 'neutral': 0.7130902409553528}",16
2014-10-29,0.0,No Change,2014-10-01,-0.1504336819052696,"{'positive': 0.07633859664201736, 'negative': 0.226772278547287, 'neutral': 0.6968891620635986}",28
2014-12-17,0.0,No Change,2014-12-01,-0.0146644711494445,"{'positive': 0.2802874743938446, 'negative': 0.2949519455432892, 'neutral': 0.4247605800628662}",16
2015-01-28,0.0,No Change,2015-01-01,0.0304679870605468,"{'positive': 0.21088199317455292, 'negative': 0.18041400611400604, 'neutral': 0.6087040305137634}",27
2015-03-18,0.0,No Change,2015-01-01,0.0304679870605468,"{'positive': 0.21088199317455292, 'negative': 0.18041400611400604, 'neutral': 0.6087040305137634}",76
2015-04-29,0.0,No Change,2015-04-01,-0.2102228254079818,"{'positive': 0.1596383899450302, 'negative': 0.3698612153530121, 'neutral': 0.4705004096031189}",28
2015-06-17,0.0,No Change,2015-06-01,-0.2025589942932129,"{'positive': 0.1966961920261383, 'negative': 0.3992551863193512, 'neutral': 0.4040485918521881}",16
2015-07-29,0.0,No Change,2015-07-01,0.3315979763865471,"{'positive': 0.4437841773033142, 'negative': 0.11218620091676712, 'neutral': 0.44402962923049927}",28
2015-09-17,0.0,No Change,2015-09-01,-0.1458266377449035,"{'positive': 0.18708273768424988, 'negative': 0.33290937542915344, 'neutral': 0.4800078868865967}",16
2015-10-28,0.0,No Change,2015-10-01,-0.1814508438110351,"{'positive': 0.1751827895641327, 'negative': 0.35663363337516785, 'neutral': 0.46818357706069946}",27
2015-12-16,0.25,Increase,2015-12-01,0.1860148608684539,"{'positive': 0.32881614565849304, 'negative': 0.14280128479003906, 'neutral': 0.5283825397491455}",15
2016-12-14,0.25,Increase,2016-11-01,0.0559029281139373,"{'positive': 0.33822354674339294, 'negative': 0.28232061862945557, 'neutral': 0.3794558048248291}",43
2016-12-14,0.25,Increase,2016-11-01,0.0559029281139373,"{'positive': 0.33822354674339294, 'negative': 0.28232061862945557, 'neutral': 0.3794558048248291}",43
2017-03-15,0.25,Increase,2017-03-01,0.1497510224580764,"{'positive': 0.21804594993591309, 'negative': 0.06829492747783661, 'neutral': 0.7136591672897339}",14
2017-06-14,0.25,Increase,2017-05-01,0.0568938627839088,"{'positive': 0.17011144757270813, 'negative': 0.11321758478879929, 'neutral': 0.7166709899902344}",44
2017-12-13,0.25,Increase,2017-11-01,-0.0585943311452865,"{'positive': 0.17136725783348083, 'negative': 0.2299615889787674, 'neutral': 0.5986711978912354}",42
2018-03-21,0.25,Increase,2018-03-01,0.0911936461925506,"{'positive': 0.19879817962646484, 'negative': 0.10760453343391418, 'neutral': 0.6935973167419434}",20
2018-06-13,0.25,Increase,2018-05-01,0.2793567329645157,"{'positive': 0.3793787360191345, 'negative': 0.10002200305461884, 'neutral': 0.5205993056297302}",43
2018-09-26,0.25,Increase,2018-09-01,0.1069866865873336,"{'positive': 0.17659112811088562, 'negative': 0.06960444152355194, 'neutral': 0.7538044452667236}",25
2018-12-19,0.25,Increase,2018-12-01,0.2008234485983848,"{'positive': 0.26834672689437866, 'negative': 0.0675232782959938, 'neutral': 0.6641299724578857}",18
2019-01-30,0.0,No Change,2019-01-01,0.3169787377119064,"{'positive': 0.4814039468765259, 'negative': 0.16442520916461945, 'neutral': 0.35417088866233826}",29
2019-03-20,0.0,No Change,2019-03-01,0.0011705607175827,"{'positive': 0.1444588452577591, 'negative': 0.1432882845401764, 'neutral': 0.7122528553009033}",19
